timestamp,username,video_idx,video_url,video_title,video_basic_info,annotation_order,argument_type,claim,premise,unclear,claim_ids,premise_ids,unclear_ids
2025-11-12 08:45:30,test,0,https://www.srf.ch/play/tv/arena/video/wohin-fuehrt-uns-der-neue-bundesrat?urn=urn:srf:video:ff723976-7129-40f8-bc0c-44da39ff17b1,Wohin führt uns der neue Bundesrat?,"Neuer Bundesrat, alte Baustellen: Wird es der Landesregierung mit den beiden neuen Mitgliedern Elisabeth Baume-Schneider und Albert Rösti gelingen, bei der Energiewende und in der Aussenpolitik weitere Pflöcke einzuschlagen? Zu Gast in der «Arena» sind die Fraktionspräsidentinnen und -präsidenten.
Im Vorfeld der Bundesratswahl standen bei der Debatte in Politik und Medien das Profil der neuen Mitglieder, die Führungserfahrung und die Kollegialität im Fokus. «Regieren, entscheiden, informieren und leiten», heisst es im Pflichtenheft der Bundesräte und Bundesrätinnen. Kommt nach der wiederholten Kritik am Kollegium in der Öffentlichkeit nun eine neue Ära? Oder ändert sich auch mit der neuen Zusammensetzung nicht viel?

Noch vor der Bundesratswahl hat die Landesregierung im Herbst ihre Ziele für das Jahr 2023 konkretisiert und präsentiert. Dabei stehen Herausforderungen in den Bereichen der Aussen- und Migrationspolitik sowie der Landesversorgung im Zentrum. Mit der drohenden Strommangellage ist auch eine Debatte um die Energiestrategie 2050 entstanden. Ist diese gescheitert, wie die SVP kritisiert? Oder trifft dies nicht zu?

30 Jahre nach Nein zum Europäischen Wirtschaftsraum EWR kommt zudem Bewegung in die Europapolitik. GLP-Präsident Jürg Grossen spricht von einem «historischen Fehlentscheid» und will den EWR-Beitritt wieder zur Diskussion stellen. Der Bundesrat setzt hingegen auf Sondierungsgespräche mit der Europäischen Union. Gibt es Hoffnung auf einen Durchbruch im EU-Dossier? Oder ist weiterhin kein Ziel in Sicht?

Zu diesen Fragen begrüsst Sandro Brotz in der «Arena»:
– Thomas Aeschi, Fraktionspräsident SVP;
– Roger Nordmann, Fraktionspräsident SP;
– Damien Cottier, Fraktionspräsident FDP;
– Philipp Matthias Bregy, Fraktionspräsident Die Mitte;
– Aline Trede, Fraktionspräsidentin Grüne; und
– Tiana Moser, Fraktionspräsidentin GLP.",1,,"Ein neuer Umweltminister, eine neue Justizministerin und eine neue Finanzministerin. Ist das gut für die Schweiz? Führt das zu guten Lösungen bei wichtigen Themen wie ","Heute in der ""Arena"": die Fraktionsspitzen zur Bundesratswahl und der Verteilung der Departemente. Mit: Thomas Aeschi, Fraktionspräsident SVP, Roger Nordmann, Fraktionspräsident SP, Damien Cottier, Fraktionspräsident FDP, Philipp Matthias Bregy, Fraktionspräsident Die Mitte",,"[""11_178_Claim""]","[""327_601_Premise""]",[]
2025-11-12 08:45:30,test,0,https://www.srf.ch/play/tv/arena/video/wohin-fuehrt-uns-der-neue-bundesrat?urn=urn:srf:video:ff723976-7129-40f8-bc0c-44da39ff17b1,Wohin führt uns der neue Bundesrat?,"Neuer Bundesrat, alte Baustellen: Wird es der Landesregierung mit den beiden neuen Mitgliedern Elisabeth Baume-Schneider und Albert Rösti gelingen, bei der Energiewende und in der Aussenpolitik weitere Pflöcke einzuschlagen? Zu Gast in der «Arena» sind die Fraktionspräsidentinnen und -präsidenten.
Im Vorfeld der Bundesratswahl standen bei der Debatte in Politik und Medien das Profil der neuen Mitglieder, die Führungserfahrung und die Kollegialität im Fokus. «Regieren, entscheiden, informieren und leiten», heisst es im Pflichtenheft der Bundesräte und Bundesrätinnen. Kommt nach der wiederholten Kritik am Kollegium in der Öffentlichkeit nun eine neue Ära? Oder ändert sich auch mit der neuen Zusammensetzung nicht viel?

Noch vor der Bundesratswahl hat die Landesregierung im Herbst ihre Ziele für das Jahr 2023 konkretisiert und präsentiert. Dabei stehen Herausforderungen in den Bereichen der Aussen- und Migrationspolitik sowie der Landesversorgung im Zentrum. Mit der drohenden Strommangellage ist auch eine Debatte um die Energiestrategie 2050 entstanden. Ist diese gescheitert, wie die SVP kritisiert? Oder trifft dies nicht zu?

30 Jahre nach Nein zum Europäischen Wirtschaftsraum EWR kommt zudem Bewegung in die Europapolitik. GLP-Präsident Jürg Grossen spricht von einem «historischen Fehlentscheid» und will den EWR-Beitritt wieder zur Diskussion stellen. Der Bundesrat setzt hingegen auf Sondierungsgespräche mit der Europäischen Union. Gibt es Hoffnung auf einen Durchbruch im EU-Dossier? Oder ist weiterhin kein Ziel in Sicht?

Zu diesen Fragen begrüsst Sandro Brotz in der «Arena»:
– Thomas Aeschi, Fraktionspräsident SVP;
– Roger Nordmann, Fraktionspräsident SP;
– Damien Cottier, Fraktionspräsident FDP;
– Philipp Matthias Bregy, Fraktionspräsident Die Mitte;
– Aline Trede, Fraktionspräsidentin Grüne; und
– Tiana Moser, Fraktionspräsidentin GLP.",2,,"Guten Abend, liebe Zuschauerinnen und Zuschauer, herzlich willkommen meine Gäste, und das gilt natürlich auch fürs Publikum. Friedlich vereint sind heute Abend bei uns Zürcher und Basler Gymnasiast/-innen vom Realgymi Rämibühl und vom Gymi Münchenstein. Damit wechseln wir auf Hochdeutsch. Im ersten Teil dieser ""Arena"" reden wir über die neuen Köpfe im Bundesrat, Danach über den Verteilkampf bei den 

Ich gelobe es. - Je promets","Und Albert Rösti, der Berner, der einen Start-Ziel-Sieg hingelegt hat.",,"[""795_1197_Claim"", ""1472_1499_Claim""]","[""1659_1729_Premise""]",[]
2025-11-12 08:45:30,test,0,https://www.srf.ch/play/tv/arena/video/wohin-fuehrt-uns-der-neue-bundesrat?urn=urn:srf:video:ff723976-7129-40f8-bc0c-44da39ff17b1,Wohin führt uns der neue Bundesrat?,"Neuer Bundesrat, alte Baustellen: Wird es der Landesregierung mit den beiden neuen Mitgliedern Elisabeth Baume-Schneider und Albert Rösti gelingen, bei der Energiewende und in der Aussenpolitik weitere Pflöcke einzuschlagen? Zu Gast in der «Arena» sind die Fraktionspräsidentinnen und -präsidenten.
Im Vorfeld der Bundesratswahl standen bei der Debatte in Politik und Medien das Profil der neuen Mitglieder, die Führungserfahrung und die Kollegialität im Fokus. «Regieren, entscheiden, informieren und leiten», heisst es im Pflichtenheft der Bundesräte und Bundesrätinnen. Kommt nach der wiederholten Kritik am Kollegium in der Öffentlichkeit nun eine neue Ära? Oder ändert sich auch mit der neuen Zusammensetzung nicht viel?

Noch vor der Bundesratswahl hat die Landesregierung im Herbst ihre Ziele für das Jahr 2023 konkretisiert und präsentiert. Dabei stehen Herausforderungen in den Bereichen der Aussen- und Migrationspolitik sowie der Landesversorgung im Zentrum. Mit der drohenden Strommangellage ist auch eine Debatte um die Energiestrategie 2050 entstanden. Ist diese gescheitert, wie die SVP kritisiert? Oder trifft dies nicht zu?

30 Jahre nach Nein zum Europäischen Wirtschaftsraum EWR kommt zudem Bewegung in die Europapolitik. GLP-Präsident Jürg Grossen spricht von einem «historischen Fehlentscheid» und will den EWR-Beitritt wieder zur Diskussion stellen. Der Bundesrat setzt hingegen auf Sondierungsgespräche mit der Europäischen Union. Gibt es Hoffnung auf einen Durchbruch im EU-Dossier? Oder ist weiterhin kein Ziel in Sicht?

Zu diesen Fragen begrüsst Sandro Brotz in der «Arena»:
– Thomas Aeschi, Fraktionspräsident SVP;
– Roger Nordmann, Fraktionspräsident SP;
– Damien Cottier, Fraktionspräsident FDP;
– Philipp Matthias Bregy, Fraktionspräsident Die Mitte;
– Aline Trede, Fraktionspräsidentin Grüne; und
– Tiana Moser, Fraktionspräsidentin GLP.",3,,"Guten Abend, liebe Zuschauerinnen und Zuschauer, herzlich willkommen meine Gäste, und das gilt natürlich auch fürs Publikum. Friedlich vereint sind heute Abend bei uns Zürcher und Basler Gymnasiast/-innen vom Realgymi Rämibühl und vom Gymi Münchenstein. Damit wechseln wir auf Hochdeutsch. Im ersten Teil dieser ""Arena"" reden wir über die neuen Köpfe im Bundesrat, Danach über den Verteilkampf bei den 

Ich gelobe es. - Je promets","Und Albert Rösti, der Berner, der einen Start-Ziel-Sieg hingelegt hat.",,"[""795_1197_Claim"", ""1472_1499_Claim""]","[""1659_1729_Premise""]",[]
2025-11-12 08:47:39,test,1,https://www.srf.ch/play/tv/arena/video/blocher---auf-zum-letzten-gefecht?urn=urn:srf:video:9684b468-cf8a-4a31-aa1a-974e6550297e,Blocher – auf zum letzten Gefecht!,"Nun geht es Schlag auf Schlag: Am Montag präsentierte der Bundesrat seine Pläne zur Europapolitik – und erhielt viel Applaus aus Wirtschaft und Politik. Am Dienstag verkündete Christoph Blocher, sich ganz auf den Kampf dagegen zu konzentrieren.",1,,Jetzt geht es Schlag auf Schlag in der Europapolitik. Jetzt klären sich die Fronten. Auf der einen Seite steht der Bundesrat und fast alle Parteien. Auf der anderen ,"Sie haben diese Woche von den Medien gesagt, erst wenn sie tot sind, sei der Kampf vorbei. Ja Herr Blocher, gibt es dann kein anderes Ende des Kampfes? Wäre dann ein bisschen",,"[""12_177_Claim""]","[""299_473_Premise""]",[]
2025-11-12 08:47:39,test,1,https://www.srf.ch/play/tv/arena/video/blocher---auf-zum-letzten-gefecht?urn=urn:srf:video:9684b468-cf8a-4a31-aa1a-974e6550297e,Blocher – auf zum letzten Gefecht!,"Nun geht es Schlag auf Schlag: Am Montag präsentierte der Bundesrat seine Pläne zur Europapolitik – und erhielt viel Applaus aus Wirtschaft und Politik. Am Dienstag verkündete Christoph Blocher, sich ganz auf den Kampf dagegen zu konzentrieren.",2,,Jetzt geht es Schlag auf Schlag in der Europapolitik. Jetzt klären sich die Fronten. Auf der einen Seite steht der Bundesrat und fast alle Parteien. Auf der anderen ,"Sie haben diese Woche von den Medien gesagt, erst wenn sie tot sind, sei der Kampf vorbei. Ja Herr Blocher, gibt es dann kein anderes Ende des Kampfes? Wäre dann ein bisschen","So habe ich es nicht gesagt, aber die, die sagen, ich solle jetzt aufhören, damit sie hier die Schweiz in den Abgrund führen können, sagen, wenn ich einmal tot höre, sicher aufhören.","[""12_177_Claim""]","[""299_473_Premise""]","[""539_721_Unclear""]"
2025-11-12 08:47:39,test,1,https://www.srf.ch/play/tv/arena/video/blocher---auf-zum-letzten-gefecht?urn=urn:srf:video:9684b468-cf8a-4a31-aa1a-974e6550297e,Blocher – auf zum letzten Gefecht!,"Nun geht es Schlag auf Schlag: Am Montag präsentierte der Bundesrat seine Pläne zur Europapolitik – und erhielt viel Applaus aus Wirtschaft und Politik. Am Dienstag verkündete Christoph Blocher, sich ganz auf den Kampf dagegen zu konzentrieren.",3,,"Heute in der Arena. Cedric Wermuth, Nationalrat SP. Er sagt, es ist gut, dass sich der Bundesrat endlich einig ist und ein Rahmenabkommen will. Dieses ist wichtig für die Schweiz. Christoph Blocher, Strategiechef SVP sagt, was der Bundesrat verschweigt, die Schweiz müsste Gesetze von der EU übernehmen, ohne dass die Bevölkerung etwas zu sagen hätte. Philipp Müller, Ständerat FDP sagt, die Wirtschaft braucht Rechtssicherheit. Und sie braucht eine Weiterentwicklung der Bilateralen. Deshalb braucht es ein Rahmenabkommen. Kamil Loth, Präsidentin Junge SVP Kanton Zürich sagt,"," Danke vielmals für den freundlichen Empfang. Endlich, meine Damen und Herren, endlich hat sich der Bundesrat auf eine Europastrategie geeinig

Aber was nützt all diese Einigkeit, Philipp Müller, was nützt all diese hochfliegenden Pläne, wenn es Christoph Blocher dann doch versenkt?",,"[""824_1401_Claim""]","[""1889_2031_Premise"", ""2151_2290_Premise""]",[]
2025-11-12 08:48:02,test,3,https://www.srf.ch/play/tv/arena/video/asylpolitik-im-umbruch?urn=urn:srf:video:9ac8dd7d-e767-4dfb-acf3-fa745309e144,Asylpolitik im Umbruch,"Nach dem Sturz des Assad-Regimes in Syrien herrscht Ungewissheit: Was bedeutet die Machtübernahme für syrische Geflüchtete in der Schweiz? Gleichzeitig sorgt die Einschränkung des Schutzstatus S für Diskussionen und stellt die Frage ins Zentrum: Wie soll sich die Schweiz asylpolitisch positionieren?
24 Jahre lang war der syrische Machthaber Bashar al-Assad an der Macht, 13 Jahren befand sich das Land im Bürgerkrieg. Neben humanitärer Hilfe vor Ort nahm die Schweiz in den letzten Jahren zahlreiche Geflüchtete aus Syrien auf. Nun werden Asylverfahren von Asylsuchenden aus Syrien sistiert, wie das Staatssekretariat für Migration mitteilt. Die SVP fordert bereits die konsequente Rückführung syrischer Geflüchteter. Bund und Hilfswerke mahnen hingegen zur Vorsicht: «Das Land ist in einem miserablen Zustand», sagte Aussenminister Cassis am Montag, 9. Dezember 2024, im Parlament. Wie soll die Schweiz auf die neue Situation in Syrien reagieren?

Einschränkung Schutzstatus S
Ein deutlicher Richtungswechsel in der Asylpolitik fand letzte Woche im Parlament in der Diskussion über die Schutzsuchenden aus der Ukraine statt. Künftig sollen nicht mehr alle automatisch den Schutzstatus S erhalten, sondern nur noch jene, die in ukrainischen Gebieten gelebt haben, die umkämpft oder von Russland besetzt sind. Macht es Sinn den Schutzstatus S örtlich einzugrenzen oder schadet dieser asylpolitische Entscheid dem humanitären Ansehen der Schweiz?

Weniger Geld für die Entwicklungszusammenarbeit?
Wie viel Geld im nächsten Jahr für die internationale Zusammenarbeit ausgegeben werden soll, sorgt momentan für hitzige Diskussionen im Parlament. Im Rahmen der Budgetdebatte wollen National- und Ständerat bei der internationalen Zusammenarbeit zugunsten der Armee sparen. Eine finanzpolitische Notwendigkeit für die bürgerliche Mehrheit im Parlament, ein verheerender Fehlentscheid für SP, Grüne und GLP. Wie viel darf die Entwicklungszusammenarbeit kosten und welche Rolle spielt sie für die internationale Reputation der Schweiz?

Zu diesen Fragen begrüsst Mario Grossniklaus am 13. Dezember 2024 in der «Arena»:
– Damian Müller, Ständerat FDP/LU;
– Corina Gredig, Fraktionspräsidentin GLP;
– Pascal Schmid, Nationalrat SVP/TG; und
– Balthasar Glättli, Nationalrat Grüne/ZH.

Ausserdem im Studio: 
– Husam Kelzi, Vorstandsmitglied Verein Syrien-Schweiz",1,,"Plötzlich ging alles blitzschnell. Nach 50 Jahren, einem halben Jahrhundert, war das Assad-Regime in Syrien Geschichte. Die Menschen jubeln im ganzen Land, hier z.B. Bilder aus Damaskus. Auch wenn sie jubeln, weiss noch niemand genau, wie es im Land weitergeht.",Mit KI-generierten und überarbeiteten Untertiteln,,"[""11_272_Claim""]","[""466_515_Premise""]",[]
2025-11-25 12:53:31,test,2,https://www.srf.ch/play/tv/arena/video/zuwanderung-der-showdown?urn=urn:srf:video:2173fdc3-3ce3-42f6-9aae-dfefdb711df3,Zuwanderung: Der Showdow,"Die Zeit drängt: Bis am 9. Februar 2017 muss die Zuwanderungs-Initiative der SVP umgesetzt sein, so steht es in der Verfassung. Darum peitscht man das Geschäft nun durch die Räte. Am Donnerstag hat der Ständerat entschieden, wie er die Initiative umsetzen will. Am Montag ist der Nationalrat dran.",1,,"Wir haben ja nicht gesagt, dass niemand mehr einwandern darf. Was wir gesagt haben, ist, dass wir eine Einwanderung haben wollen, die den gesamtwirtschaftlichen Interessen dient.","Seit der Einführung der Personenfreizügigkeit sind 750'000 Leute in unser Land eingewandert.

In dieser oder der letzten Woche wurde eine Studie veröffentlicht, die besagt, dass vier von fünf Zugewanderten aus der EU eben keine sog. Fachkräfte sin",,"[""8932_9110_Claim""]","[""9111_9203_Premise"", ""9204_9357_Premise""]",[]
2025-11-25 12:53:31,test,2,https://www.srf.ch/play/tv/arena/video/zuwanderung-der-showdown?urn=urn:srf:video:2173fdc3-3ce3-42f6-9aae-dfefdb711df3,Zuwanderung: Der Showdow,"Die Zeit drängt: Bis am 9. Februar 2017 muss die Zuwanderungs-Initiative der SVP umgesetzt sein, so steht es in der Verfassung. Darum peitscht man das Geschäft nun durch die Räte. Am Donnerstag hat der Ständerat entschieden, wie er die Initiative umsetzen will. Am Montag ist der Nationalrat dran.",2,, Aber in unserer Demokratie und in unserem Rechtsstaat gilt immer der jüngste Entscheid,"Sie können das wieder kehren mit einer Initiative

Sie können auch wieder eine Initiative starten

as Volk wird sich zu dieser Frage wieder äussern können

Was aber nicht geht, ist, dass wir einen Volksentscheid nicht umsetzen. In der Schweizer Geschichte wurde noch nie ein Volksentscheid derart missachtet.",,"[""9947_10034_Claim""]","[""10036_10085_Premise"", ""10194_10240_Premise"", ""10243_10298_Premise"", ""10300_10452_Premise""]",[]
2025-11-25 12:53:31,test,2,https://www.srf.ch/play/tv/arena/video/zuwanderung-der-showdown?urn=urn:srf:video:2173fdc3-3ce3-42f6-9aae-dfefdb711df3,Zuwanderung: Der Showdow,"Die Zeit drängt: Bis am 9. Februar 2017 muss die Zuwanderungs-Initiative der SVP umgesetzt sein, so steht es in der Verfassung. Darum peitscht man das Geschäft nun durch die Räte. Am Donnerstag hat der Ständerat entschieden, wie er die Initiative umsetzen will. Am Montag ist der Nationalrat dran.",3,,Erstens haben wir die Frist eingehalten,Das steht in der Verfassung,,"[""3322_3361_Claim""]","[""3363_3390_Premise""]",[]
